index,glir11,qo11,qt11,wc11,ch11,gor11,glir22,qo22,qt22,wc22,ch22,gor22
1,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
2,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
3,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
4,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
5,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
6,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
7,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
8,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
9,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
10,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
11,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
12,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
13,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
14,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
15,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
16,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
17,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
18,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
19,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
20,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
21,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
22,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
23,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
24,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
25,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
26,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
27,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
28,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
29,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
30,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
31,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
