Date,Qg,Qo,Qw,Qt,wc,GOR,Qt_cum,Qo_cum,Qw_cum,GLIR,GUF
1/1/2022,1068.07,121.03,255.59,376.62,0.68,8825.09,376.62,121.03,255.59,550,1.46035792
1/2/2022,1059.55,121.71,252.91,374.61,0.68,8705.64,751.24,242.74,508.5,550,1.468193588
1/6/2022,1090.13,119.03,251.72,370.74,0.68,9158.76,1121.98,361.76,760.22,550,1.483519448
1/7/2022,1080.73,113.64,250.96,364.6,0.69,9509.95,1486.58,475.4,1011.18,550,1.508502468
1/8/2022,1049.66,113.75,254.19,367.95,0.69,9227.65,1854.53,589.16,1265.37,550,1.494768311
1/9/2022,1057.13,119.58,252.81,372.39,0.68,8840.3,2226.91,708.74,1518.18,550,1.476946212
1/10/2022,1067.07,124.68,249.29,373.97,0.67,8558.25,2600.88,833.42,1767.46,550,1.470706206
1/11/2022,1051.9,117.07,251.95,369.02,0.68,8985.6,2969.9,950.48,2019.42,550,1.490434123
1/12/2022,331.34,39.52,81.57,121.09,0.67,8383.83,3090.99,990.01,2100.99,650,5.367908167
1/13/2022,1340.52,44.37,152.94,197.3,0.78,30214.25,3288.3,1034.37,2253.92,650,3.294475418
1/14/2022,1302.82,118.43,283.4,401.83,0.71,11000.5,3690.13,1152.81,2537.32,650,1.617599482
1/15/2022,1139.68,118.13,263.57,381.7,0.69,9647.62,4071.83,1270.94,2800.89,650,1.702908043
1/16/2022,1035.47,109.55,247.81,357.36,0.69,9452.06,4429.19,1380.49,3048.7,650,1.818894112
1/17/2022,1070.02,115.73,266.94,382.67,0.7,9245.75,4811.86,1496.22,3315.64,650,1.698591476
1/18/2022,906.07,112.36,251.34,363.7,0.69,8063.92,5175.56,1608.58,3566.98,700,1.924663184
1/19/2022,1569.28,227.04,412.31,639.35,0.64,6912.02,5814.91,1835.61,3979.3,700,1.094861969
1/20/2022,1822.07,216.67,390.84,607.5,0.64,8409.48,6422.42,2052.28,4370.13,600,0.987654321
1/21/2022,1690.49,199.49,371.42,570.91,0.65,8473.96,6993.33,2251.78,4741.55,600,1.050953741
1/22/2022,1948.74,287.07,554.86,841.92,0.66,6788.47,7835.25,2538.84,5296.41,600,0.712656784
1/23/2022,1803.84,244,482.64,726.64,0.66,7392.77,8561.89,2782.84,5779.05,600,0.825718375
1/24/2022,1823.14,288.17,467.29,755.45,0.62,6326.69,9317.35,3071.01,6246.34,600,0.794228605
1/25/2022,1752.39,220.46,434.95,655.41,0.66,7948.91,9972.75,3291.46,6681.29,650,0.991745625
1/26/2022,1736.41,203.99,416.85,620.85,0.67,8512.03,10593.6,3495.46,7098.14,650,1.04695176
1/27/2022,1792.52,202.81,420.92,623.73,0.67,8838.31,11217.33,3698.27,7519.06,575,0.921873246
1/28/2022,1922.69,232.06,471.34,703.4,0.67,8285.42,11920.73,3930.33,7990.4,575,0.817458061
1/29/2022,1783.65,213.8,434.2,648,0.67,8342.59,12568.73,4144.13,8424.6,575,0.887345679
1/30/2022,1802.8,142.99,315.89,458.88,0.69,12607.5,13027.61,4287.12,8740.49,575,1.253050907
1/31/2022,1709.01,141.82,303.63,445.45,0.68,12050.37,13473.06,4428.94,9044.12,575,1.290829498
2/1/2022,1182.78,132.43,279.95,412.38,0.68,8931.09,13885.45,4561.38,9324.07,575,1.394345022
2/2/2022,894.79,96.31,207.51,303.82,0.68,9290.62,14189.27,4657.69,9531.58,700,2.303995787
2/3/2022,1185.75,122.88,266.3,389.18,0.68,9649.69,14578.45,4780.57,9797.88,700,1.798653579
2/4/2022,2269.33,252.83,546.62,799.45,0.68,8975.58,15377.9,5033.4,10344.5,700,0.875601976
2/5/2022,1709.49,151.5,358.66,510.16,0.7,11283.56,15888.06,5184.91,10703.16,700,1.372118551
2/6/2022,696.97,49.07,124.1,173.17,0.72,14203.81,16061.24,5233.98,10827.26,700,4.042270601
2/13/2022,1732.72,124.61,275.73,400.34,0.69,13904.84,19038.47,6146.78,12891.69,600,1.498726083
2/14/2022,1783.94,164.25,376.28,540.53,0.7,10860.98,19579,6311.03,13267.97,600,1.110021645
2/15/2022,1156.2,113.35,246.9,360.25,0.69,10200.1,19939.25,6424.38,13514.87,600,1.665510062
2/18/2022,1345.45,170.37,239.94,410.31,0.58,7897.17,21192.28,6881.86,14310.42,600,1.462308986
3/8/2022,1110.08,152.13,203.2,355.33,0.57,7296.99,27879.66,9643.24,18236.42,550,1.547856922
3/9/2022,1090.45,139.2,207.21,346.41,0.6,7833.38,28226.07,9782.44,18443.63,500,1.443376346
3/10/2022,1068.26,145.66,204.28,349.94,0.58,7333.98,28576.01,9928.1,18647.91,500,1.428816369
3/12/2022,1005.84,145.12,198.66,343.78,0.58,6930.96,29262.25,10214.3,19047.95,500,1.454418523
3/13/2022,1169.24,175.39,251.98,427.37,0.59,6666.37,29689.62,10389.69,19299.93,500,1.169946416
3/14/2022,1710.79,313.25,375.03,688.28,0.54,5461.42,30377.9,10702.95,19674.95,500,0.726448538
3/16/2022,1647.17,296.91,361.22,658.13,0.55,5547.77,31797.9,11349.46,20448.45,500,0.759728321
3/17/2022,1841.72,337.91,396.35,734.26,0.54,5450.36,32532.16,11687.37,20844.79,500,0.680957699
3/18/2022,1579.95,286.35,340.23,626.58,0.54,5517.48,33158.75,11973.72,21185.03,500,0.7979827
3/19/2022,1418.43,245.21,299.5,544.71,0.55,5784.52,33703.45,12218.93,21484.52,500,0.917919627
3/20/2022,1021.54,153.32,211.81,365.12,0.58,6662.88,34068.58,12372.25,21696.33,500,1.369412796
3/23/2022,898.74,135.96,183.41,319.38,0.57,6610.09,34904.26,12731.2,22173.05,475,1.48725656
3/27/2022,824.07,118.19,166.91,285.1,0.59,6972.48,35189.36,12849.39,22339.96,475,1.666082076
3/30/2022,824.96,113.23,158.16,271.39,0.58,7285.62,35460.74,12962.62,22498.12,475,1.75024872
4/2/2022,821.16,119.57,177.16,296.72,0.6,6867.8,36036.59,13192.93,22843.66,475,1.600835805
4/3/2022,820.16,118.05,173.96,292.01,0.6,6947.47,36328.6,13310.98,23017.61,475,1.626656621
4/6/2022,194.74,52.92,37.63,90.56,0.42,3679.54,36991.61,13602.89,23388.72,600,6.625441696
4/12/2022,1270.38,224.58,219.87,444.44,0.49,5656.82,39237.61,14571.45,24666.17,750,1.687516875
4/14/2022,1318.73,162.47,223.24,385.71,0.58,8116.66,40001.27,14892.63,25108.64,700,1.81483498
4/16/2022,1273.35,160.43,216.04,376.47,0.57,7937.21,40765.38,15217.43,25547.95,700,1.859377905
4/18/2022,1305.05,157.87,213.28,371.16,0.57,8266.38,41136.54,15375.31,25761.23,700,1.885979093
4/23/2022,1256.54,152.66,196.9,349.56,0.56,8231.18,42108.02,15798.58,26309.45,650,1.85948049
4/24/2022,1257.85,156.99,193.08,350.07,0.55,8012.29,42458.09,15955.57,26502.52,650,1.856771503
4/25/2022,1258.08,151.71,192.47,344.18,0.56,8292.65,42802.26,16107.28,26694.99,650,1.888546691
4/26/2022,1270.55,149.72,194.77,344.49,0.57,8486.34,43146.75,16256.99,26889.76,600,1.741705129
4/27/2022,1035.14,115.67,131.81,247.48,0.53,8949.23,43394.23,16372.66,27021.57,600,2.424438338
4/28/2022,983.49,109.05,143.31,252.35,0.57,9018.78,43646.58,16481.71,27164.87,600,2.377650089
4/29/2022,994.52,116.48,152.35,268.84,0.57,8538.02,43915.42,16598.19,27317.23,600,2.231810742
4/30/2022,976.15,116.27,141.97,258.24,0.55,8395.4,44173.66,16714.46,27459.2,700,2.710656753
5/1/2022,1089.74,131.69,172,303.68,0.57,8275.29,44477.34,16846.15,27631.19,700,2.305057956
5/2/2022,1124.3,136.01,189.95,325.95,0.58,8266.6,44803.29,16982.15,27821.14,700,2.147568645
5/3/2022,1189.22,149.08,208.9,357.99,0.58,7976.85,45161.28,17131.24,28030.04,700,1.955361882
5/4/2022,1306.98,174.44,212.87,387.31,0.55,7492.35,45548.59,17305.68,28242.91,700,1.807337791
5/5/2022,1331.14,173.26,215.67,388.93,0.55,7682.71,45937.52,17478.94,28458.58,700,1.799809734
5/6/2022,1352.35,168.89,211.51,380.4,0.56,8007.19,46317.93,17647.84,28670.09,700,1.840168244
5/7/2022,1395.72,164.73,209.59,374.31,0.56,8473,46692.24,17812.56,28879.68,700,1.870107665
5/8/2022,1405.89,167.35,202.54,369.89,0.55,8400.86,47062.13,17979.91,29082.22,700,1.892454514
5/9/2022,1437.95,163.52,201.25,364.77,0.55,8793.63,47426.9,18143.43,29283.47,700,1.919017463
5/10/2022,1465.56,166.45,200.84,367.29,0.55,8804.96,47794.19,18309.88,29484.3,675,1.837784857
5/11/2022,1490.54,167.77,198.97,366.74,0.54,8884.35,48160.93,18477.65,29683.28,675,1.840540983
5/12/2022,1524.69,167.7,196.74,364.44,0.54,9091.64,48525.37,18645.36,29880.02,675,1.852156734
5/13/2022,1481.76,164.11,190.92,355.03,0.54,9029.09,48880.41,18809.47,30070.94,675,1.901247782
5/14/2022,1498.73,165.59,192.54,358.13,0.54,9050.8,49238.54,18975.06,30263.48,675,1.884790439
5/15/2022,1507.06,164.85,191.54,356.38,0.54,9142.19,49594.92,19139.9,30455.02,675,1.894045682
5/16/2022,1573.63,165.63,191.18,356.81,0.54,9500.74,49951.74,19305.54,30646.2,675,1.891763123
5/17/2022,1514.91,165.28,185.7,350.98,0.53,9165.45,50302.72,19470.82,30831.9,653,1.860504872
5/18/2022,1476.47,156.55,180.87,337.42,0.54,9431.3,50640.14,19627.37,31012.77,675,2.000474186
5/19/2022,1427.54,156.85,174.43,331.28,0.53,9101.04,50971.42,19784.22,31187.19,675,2.037551316
5/20/2022,1410.59,152.21,177.48,329.69,0.54,9267.27,51301.11,19936.44,31364.67,675,2.04737784
5/21/2022,1413.72,162.55,176.44,338.99,0.52,8697.29,51640.1,20098.98,31541.11,675,1.99120918
5/22/2022,1393.07,209.64,175.62,385.26,0.46,6644.99,52025.36,20308.63,31716.74,675,1.752063542
5/23/2022,1369.64,144.74,177.76,322.5,0.55,9462.96,52347.86,20453.36,31894.5,675,2.093023256
5/24/2022,1361.11,147.48,173.85,321.33,0.54,9229.26,52669.19,20600.84,32068.35,675,2.100644198
5/25/2022,1344.31,146.82,172.75,319.57,0.54,9156.13,52988.76,20747.66,32241.1,675,2.112213287
5/26/2022,1364.74,142.9,181.16,324.06,0.56,9550.25,53312.81,20890.56,32422.25,675,2.082947602
5/27/2022,1281.37,141.79,149.32,291.11,0.51,9037.09,53603.92,21032.35,32571.57,675,2.31871114
5/28/2022,1260.23,139.41,156.77,296.19,0.53,9039.51,53900.11,21171.77,32728.35,675,2.278942571
5/29/2022,1320.23,145.65,161.87,307.52,0.53,9064.61,54207.63,21317.41,32890.22,726,2.36082206
5/30/2022,1328.29,148.55,161.6,310.16,0.52,8941.51,54517.79,21465.97,33051.82,726,2.340727367
5/31/2022,1364.25,149.65,165.55,315.2,0.53,9116.08,54832.99,21615.62,33217.37,756,2.398477157
6/1/2022,1393.09,152.01,167.45,319.45,0.52,9164.76,55152.44,21767.62,33384.82,756,2.366567538
6/2/2022,1400.81,152.37,171.19,323.56,0.53,9193.49,55476,21919.99,33556,756,2.336506367
6/3/2022,1400.81,152.37,171.19,323.56,0.53,9193.49,55799.55,22072.36,33727.19,756,2.336506367
6/4/2022,1418.93,157.21,178.62,335.84,0.53,9025.44,56135.39,22229.58,33905.81,756,2.251071939
6/5/2022,1404.35,157.71,170.09,327.8,0.52,8904.41,56463.19,22387.29,34075.9,756,2.30628432
6/6/2022,1440.02,161.9,173.87,335.77,0.52,8894.37,56798.97,22549.19,34249.77,756,2.251541234
6/7/2022,1410.1,153.86,167.45,321.31,0.52,9164.91,57120.27,22703.05,34417.22,790,2.458684759
6/8/2022,1429.98,157.17,166.96,324.13,0.52,9098.39,57444.4,22860.22,34584.18,790,2.437293678
6/9/2022,1416.77,155.93,163.64,319.57,0.51,9085.66,57763.97,23016.16,34747.82,790,2.472071847
6/10/2022,1415.15,153.57,164.32,317.89,0.52,9215.21,58081.86,23169.72,34912.14,790,2.485136368
6/11/2022,1362.75,154.5,163.58,318.08,0.51,8820.36,58399.94,23324.22,35075.72,790,2.483651911
6/12/2022,1439.71,159.33,164.6,323.93,0.51,9036.3,58723.87,23483.55,35240.32,790,2.438798506
6/13/2022,1462.25,154.19,165.26,319.45,0.52,9483.31,59043.32,23637.74,35405.58,847,2.651432149
6/14/2022,1491.61,152.25,164.26,316.51,0.52,9797.3,59359.83,23789.99,35569.85,847,2.676060788
6/15/2022,1502.55,157.39,163.29,320.68,0.51,9546.68,59680.51,23947.38,35733.14,857,2.672446052
6/16/2022,1495.96,157.65,161.19,318.84,0.51,9489.18,59999.35,24105.03,35894.32,857,2.687868523
6/17/2022,1514.54,152.47,164.05,316.53,0.52,9933.2,60315.88,24257.5,36058.38,884,2.792784254
6/18/2022,1528.17,155,162.89,317.89,0.51,9859.08,60633.77,24412.5,36221.27,884,2.780836138
6/19/2022,1509.49,153.82,162.16,315.99,0.51,9813.1,60949.75,24566.32,36383.43,847,2.680464572
6/20/2022,1517.28,165.99,164.73,330.72,0.5,9140.66,61280.48,24732.32,36548.16,847,2.561078858
6/21/2022,1538.52,168.41,167.97,336.38,0.5,9135.81,61616.86,24900.72,36716.13,847,2.517985612
6/22/2022,1543.69,170.38,164.39,334.77,0.49,9060.28,61951.63,25071.1,36880.53,847,2.530095289
6/23/2022,1528.16,165.57,161.73,327.3,0.49,9229.41,62278.93,25236.68,37042.25,847,2.587839902
6/24/2022,1513.33,162.26,161.03,323.3,0.5,9326.45,62602.22,25398.94,37203.29,827,2.55799567
6/25/2022,1474.38,155.29,159.2,314.49,0.51,9494.53,62916.72,25554.23,37362.49,827,2.629654361
6/26/2022,1460,156.26,160.29,316.55,0.51,9343.49,63233.26,25710.48,37522.78,796,2.514610646
6/27/2022,1427.48,157.34,159.36,316.7,0.5,9072.62,63549.96,25867.82,37682.13,796,2.51341964
6/28/2022,1405.51,150,159.24,309.24,0.51,9370.1,63859.2,26017.82,37841.37,763,2.467339283
6/29/2022,1376.94,152.78,161.47,314.25,0.51,9012.56,64173.45,26170.6,38002.85,763,2.428003182
6/30/2022,1191.37,153.93,156.81,310.74,0.5,7739.57,64484.19,26324.53,38159.66,763,2.455428976
7/1/2022,1150.78,127.65,134.36,262.01,0.51,9014.84,64746.2,26452.19,38294.01,763,2.912102592
7/2/2022,1492.73,167.28,147.79,315.07,0.47,8923.66,65061.27,26619.47,38441.81,763,2.42168407
7/3/2022,1288.26,145.91,148.31,294.22,0.5,8829.02,65355.49,26765.38,38590.12,763,2.593297532
7/4/2022,1282.7,143.09,147.73,290.83,0.51,8964.22,65646.32,26908.47,38737.85,835,2.871093078
7/5/2022,1371.71,145.73,150.74,296.48,0.51,9412.38,65942.8,27054.2,38888.59,835,2.816378845
7/6/2022,1375.56,159.74,153.15,312.89,0.49,8611.24,66255.69,27213.94,39041.74,835,2.6686695
7/7/2022,1378.69,148.91,152.59,301.5,0.51,9258.52,66557.19,27362.85,39194.33,835,2.769485904
7/8/2022,1375.45,158.21,148.46,306.67,0.48,8694,66863.86,27521.06,39342.8,835,2.722796491
7/9/2022,1373.65,206.25,149.32,355.56,0.42,6660.26,67219.42,27727.31,39492.11,835,2.348408145
7/10/2022,1393.08,152.76,153.68,306.44,0.5,9119.35,67525.86,27880.07,39645.79,835,2.724840099
7/11/2022,1383.89,154.14,152.65,306.79,0.5,8978.1,67832.65,28034.21,39798.44,835,2.721731478
7/12/2022,1395.93,152.69,152.22,304.91,0.5,9142.45,68137.55,28186.9,39950.66,835,2.738513004
7/13/2022,1393.36,154.3,151.18,305.48,0.49,9030.4,68443.03,28341.19,40101.84,835,2.733403169
7/14/2022,1394.44,160.72,152.66,313.37,0.49,8676.42,68756.4,28501.91,40254.5,835,2.664581804
7/15/2022,1394.44,160.72,152.66,313.37,0.49,8676.42,69069.78,28662.62,40407.16,835,2.664581804
7/16/2022,1391.72,165.16,151.67,316.83,0.48,8426.42,69386.61,28827.79,40558.82,855,2.698608086
7/17/2022,1406.35,161.1,152.5,313.6,0.49,8729.8,69700.2,28988.88,40711.32,855,2.726403061
7/18/2022,1424.1,163.01,152.09,315.1,0.48,8736.55,70015.3,29151.89,40863.41,855,2.71342431
7/19/2022,1437.89,166.98,153.32,320.3,0.48,8611.17,70335.6,29318.87,41016.73,855,2.669372463
7/20/2022,1442.93,174.96,154.08,329.04,0.47,8247.34,70664.64,29493.83,41170.82,856,2.601507416
7/21/2022,1446.85,168.54,152.08,320.62,0.47,8584.72,70985.26,29662.36,41322.9,856,2.66982721
7/22/2022,309,27.75,35.98,63.73,0.56,11136.53,71048.99,29690.11,41358.88,856,13.43166484
7/23/2022,1383.72,130.77,146.63,277.4,0.53,10581.2,71326.39,29820.88,41505.51,856,3.085796683
7/24/2022,1421.63,134.48,163.93,298.41,0.55,10571.49,71624.8,29955.36,41669.45,856,2.868536577
7/25/2022,1434.1,135.29,164.81,300.1,0.55,10600.2,71924.91,30090.65,41834.26,856,2.852382539
7/26/2022,1429.82,131.45,164.43,295.88,0.56,10877.37,72220.78,30222.1,41998.69,836,2.825469785
7/27/2022,1425.8,132.53,166.2,298.73,0.56,10758.4,72519.51,30354.63,42164.89,836,2.798513708
7/28/2022,1427.98,136.31,165.02,301.33,0.55,10475.69,72820.84,30490.94,42329.9,836,2.774366973
7/29/2022,1433.24,134.62,164.24,298.86,0.55,10646.67,73119.7,30625.56,42494.14,999,3.342702269
7/30/2022,1555.66,133.99,166.27,300.26,0.55,11610.59,73419.96,30759.54,42660.41,999,3.327116499
7/31/2022,1556.32,132.8,165.56,298.36,0.55,11719.06,73718.32,30892.35,42825.97,999,3.348304062
8/1/2022,1586,120.29,161.73,282.01,0.57,13185.24,74000.33,31012.63,42987.7,999,3.542427573
8/2/2022,1568.39,126.65,162.7,289.35,0.56,12383.88,74289.68,31139.28,43150.4,932,3.221012614
8/3/2022,1504.4,123.4,163.02,286.42,0.57,12191.73,74576.1,31262.68,43313.42,868,3.030514629
8/4/2022,1517.72,147.06,166.07,313.13,0.53,10320.56,74889.23,31409.73,43479.5,868,2.772011625
8/5/2022,1448.59,134.99,143.3,278.29,0.51,10731.21,75167.52,31544.72,43622.8,851,3.05796112
8/6/2022,1418.26,131.57,163.45,295.03,0.55,10779.23,75462.55,31676.29,43786.25,851,2.884452429
8/7/2022,1376.11,138.23,162.18,300.41,0.54,9955.53,75762.96,31814.52,43948.44,750,2.496587996
8/8/2022,1325.24,189.54,162.64,352.17,0.46,6992.03,76115.13,32004.06,44111.08,551,1.564585286
