index,glir11,qo11,qt11,wc11,ch11,gor11,glir22,qo22,qt22,wc22,ch22,gor22
1,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
2,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
3,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
4,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
5,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
6,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
7,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
8,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
9,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
10,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
11,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
12,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
13,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
14,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
15,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
16,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
17,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
18,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
19,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
20,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
21,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
22,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
23,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
24,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
25,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
26,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
27,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
28,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
29,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
30,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
31,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
32,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
33,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
34,54.2,165,359,3.99,465.86,16064.24,600,31,32.2,4,392.86,32.25806452
35,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
36,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
37,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
38,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
39,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
40,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
41,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
42,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
43,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
44,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
45,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
46,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
47,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
48,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
49,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
50,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
51,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
52,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
53,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
54,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
55,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
56,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
57,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
58,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
59,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
60,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
61,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
62,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
63,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
64,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
65,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
66,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
67,54.2,139.73,333.73,3.99,705,20346.38,600,5.73,5.82,2,632,1832.460733
68,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
69,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
70,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
71,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
72,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
73,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
74,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
75,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
