index,glir,qo,qt,wc,ch,gor
1,54.2,165,359,3.99,465.86,16064.24
2,54.2,165,359,3.99,465.86,16064.24
3,54.2,165,359,3.99,465.86,16064.24
4,54.2,165,359,3.99,465.86,16064.24
5,54.2,165,359,3.99,465.86,16064.24
6,54.2,165,359,3.99,465.86,16064.24
7,54.2,165,359,3.99,465.86,16064.24
8,54.2,165,359,3.99,465.86,16064.24
9,54.2,165,359,3.99,465.86,16064.24
10,54.2,165,359,3.99,465.86,16064.24
11,54.2,165,359,3.99,465.86,16064.24
12,54.2,165,359,3.99,465.86,16064.24
13,54.2,165,359,3.99,465.86,16064.24
14,54.2,165,359,3.99,465.86,16064.24
15,54.2,165,359,3.99,465.86,16064.24
16,54.2,165,359,3.99,465.86,16064.24
17,54.2,165,359,3.99,465.86,16064.24
18,54.2,165,359,3.99,465.86,16064.24
19,54.2,165,359,3.99,465.86,16064.24
20,54.2,165,359,3.99,465.86,16064.24
21,54.2,165,359,3.99,465.86,16064.24
22,54.2,165,359,3.99,465.86,16064.24
23,54.2,165,359,3.99,465.86,16064.24
24,54.2,165,359,3.99,465.86,16064.24
25,54.2,165,359,3.99,465.86,16064.24
26,54.2,165,359,3.99,465.86,16064.24
27,54.2,165,359,3.99,465.86,16064.24
28,54.2,165,359,3.99,465.86,16064.24
29,54.2,165,359,3.99,465.86,16064.24
30,54.2,165,359,3.99,465.86,16064.24
31,54.2,165,359,3.99,465.86,16064.24
32,54.2,165,359,3.99,465.86,16064.24
33,54.2,165,359,3.99,465.86,16064.24
34,54.2,165,359,3.99,465.86,16064.24
35,54.2,139.73,333.73,3.99,705,20346.38
36,54.2,139.73,333.73,3.99,705,20346.38
37,54.2,139.73,333.73,3.99,705,20346.38
38,54.2,139.73,333.73,3.99,705,20346.38
39,54.2,139.73,333.73,3.99,705,20346.38
40,54.2,139.73,333.73,3.99,705,20346.38
41,54.2,139.73,333.73,3.99,705,20346.38
42,54.2,139.73,333.73,3.99,705,20346.38
43,54.2,139.73,333.73,3.99,705,20346.38
44,54.2,139.73,333.73,3.99,705,20346.38
45,54.2,139.73,333.73,3.99,705,20346.38
46,54.2,139.73,333.73,3.99,705,20346.38
47,54.2,139.73,333.73,3.99,705,20346.38
48,54.2,139.73,333.73,3.99,705,20346.38
49,54.2,139.73,333.73,3.99,705,20346.38
50,54.2,139.73,333.73,3.99,705,20346.38
51,54.2,139.73,333.73,3.99,705,20346.38
52,54.2,139.73,333.73,3.99,705,20346.38
53,54.2,139.73,333.73,3.99,705,20346.38
54,54.2,139.73,333.73,3.99,705,20346.38
55,54.2,139.73,333.73,3.99,705,20346.38
