index,glir,qo,qt,wc,ch,gor
1,600,31,32.2,4,392.86,600
2,600,31,32.2,4,392.86,600
3,600,31,32.2,4,392.86,600
4,600,31,32.2,4,392.86,600
5,600,31,32.2,4,392.86,600
6,600,31,32.2,4,392.86,600
7,600,31,32.2,4,392.86,600
8,600,31,32.2,4,392.86,600
9,600,31,32.2,4,392.86,600
10,600,31,32.2,4,392.86,600
11,600,31,32.2,4,392.86,600
12,600,31,32.2,4,392.86,600
13,600,31,32.2,4,392.86,600
14,600,31,32.2,4,392.86,600
15,600,31,32.2,4,392.86,600
16,600,31,32.2,4,392.86,600
17,600,31,32.2,4,392.86,600
18,600,31,32.2,4,392.86,600
19,600,31,32.2,4,392.86,600
20,600,31,32.2,4,392.86,600
21,600,31,32.2,4,392.86,600
22,600,31,32.2,4,392.86,600
23,600,31,32.2,4,392.86,600
24,600,31,32.2,4,392.86,600
25,600,31,32.2,4,392.86,600
26,600,31,32.2,4,392.86,600
27,600,31,32.2,4,392.86,600
28,600,31,32.2,4,392.86,600
29,600,31,32.2,4,392.86,600
30,600,31,32.2,4,392.86,600
31,600,31,32.2,4,392.86,600
32,600,31,32.2,4,392.86,600
33,600,31,32.2,4,392.86,600
34,600,31,32.2,4,392.86,600
35,600,5.73,5.82,2,632,36823.73
36,600,5.73,5.82,2,632,36823.73
37,600,5.73,5.82,2,632,36823.73
38,600,5.73,5.82,2,632,36823.73
39,600,5.73,5.82,2,632,36823.73
40,600,5.73,5.82,2,632,36823.73
41,600,5.73,5.82,2,632,36823.73
42,600,5.73,5.82,2,632,36823.73
43,600,5.73,5.82,2,632,36823.73
44,600,5.73,5.82,2,632,36823.73
45,600,5.73,5.82,2,632,36823.73
46,600,5.73,5.82,2,632,36823.73
47,600,5.73,5.82,2,632,36823.73
48,600,5.73,5.82,2,632,36823.73
49,600,5.73,5.82,2,632,36823.73
50,600,5.73,5.82,2,632,36823.73
51,600,5.73,5.82,2,632,36823.73
52,600,5.73,5.82,2,632,36823.73
53,600,5.73,5.82,2,632,36823.73
54,600,5.73,5.82,2,632,36823.73
55,600,5.73,5.82,2,632,36823.73
56,600,5.73,5.82,2,632,36823.73
57,600,5.73,5.82,2,632,36823.73
58,600,5.73,5.82,2,632,36823.73
59,600,5.73,5.82,2,632,36823.73
60,600,5.73,5.82,2,632,36823.73
61,600,5.73,5.82,2,632,36823.73
62,600,5.73,5.82,2,632,36823.73
63,600,5.73,5.82,2,632,36823.73
64,600,5.73,5.82,2,632,36823.73
65,600,5.73,5.82,2,632,36823.73
66,600,5.73,5.82,2,632,36823.73
67,600,5.73,5.82,2,632,36823.73
68,600,4.9,5.02,3,582,81632.65
69,600,4.9,5.02,3,582,81632.65
70,600,4.9,5.02,3,582,81632.65
71,600,4.9,5.02,3,582,81632.65
72,600,4.9,5.02,3,582,81632.65
73,600,4.9,5.02,3,582,81632.65
74,600,4.9,5.02,3,582,81632.65
75,600,4.9,5.02,3,582,81632.65
76,600,4.9,5.02,3,582,81632.65
77,600,4.9,5.02,3,582,81632.65
78,600,4.9,5.02,3,582,81632.65
79,600,4.9,5.02,3,582,81632.65
80,600,4.9,5.02,3,582,81632.65
81,600,4.9,5.02,3,582,81632.65
82,600,4.9,5.02,3,582,81632.65
83,600,4.9,5.02,3,582,81632.65
84,600,4.9,5.02,3,582,81632.65
85,600,4.9,5.02,3,582,81632.65
86,600,4.9,5.02,3,582,81632.65
87,600,4.9,5.02,3,582,81632.65
88,600,4.9,5.02,3,582,81632.65
89,600,4.9,5.02,3,582,81632.65
90,600,4.9,5.02,3,582,81632.65
91,600,4.9,5.02,3,582,81632.65
92,600,4.9,5.02,3,582,81632.65
93,600,4.9,5.02,3,582,81632.65
94,600,4.9,5.02,3,582,81632.65
95,600,4.9,5.02,3,582,81632.65
96,600,4.9,5.02,3,582,81632.65
97,600,4.9,5.02,3,582,81632.65
98,600,4.9,5.02,3,582,81632.65
99,600,4.9,5.02,3,582,81632.65
100,600,4.9,5.02,3,582,81632.65
101,600,7,7.24,4,717.2,35714.29
102,600,7,7.24,4,717.2,35714.29
103,600,7,7.24,4,717.2,35714.29
104,600,7,7.24,4,717.2,35714.29
105,600,7,7.24,4,717.2,35714.29
106,600,7,7.24,4,717.2,35714.29
107,600,7,7.24,4,717.2,35714.29
108,600,7,7.24,4,717.2,35714.29
109,600,7,7.24,4,717.2,35714.29
110,600,7,7.24,4,717.2,35714.29
111,600,7,7.24,4,717.2,35714.29
112,600,7,7.24,4,717.2,35714.29
113,600,7,7.24,4,717.2,35714.29
114,600,7,7.24,4,717.2,35714.29
115,600,7,7.24,4,717.2,35714.29
116,600,7,7.24,4,717.2,35714.29
117,600,7,7.24,4,717.2,35714.29
118,600,7,7.24,4,717.2,35714.29
119,600,7,7.24,4,717.2,35714.29
120,600,7,7.24,4,717.2,35714.29
121,600,7,7.24,4,717.2,35714.29
122,600,7,7.24,4,717.2,35714.29
123,600,7,7.24,4,717.2,35714.29
124,600,7,7.24,4,717.2,35714.29
125,600,7,7.24,4,717.2,35714.29
126,600,7,7.24,4,717.2,35714.29
127,600,7,7.24,4,717.2,35714.29
128,600,7,7.24,4,717.2,35714.29
129,600,7,7.24,4,717.2,35714.29
130,600,7,7.24,4,717.2,35714.29
131,600,7,7.24,4,717.2,35714.29
132,600,7,7.24,4,717.2,35714.29
133,600,7,7.24,4,717.2,35714.29
134,600,7,7.24,4,717.2,35714.29
135,600,5.79,5.89,2,704,58721.93
136,600,5.79,5.89,2,704,58721.93
137,600,5.79,5.89,2,704,58721.93
138,600,5.79,5.89,2,704,58721.93
139,600,5.79,5.89,2,704,58721.93
140,600,5.79,5.89,2,704,58721.93
141,600,5.79,5.89,2,704,58721.93
142,600,5.79,5.89,2,704,58721.93
143,600,5.79,5.89,2,704,58721.93
144,600,5.79,5.89,2,704,58721.93
145,600,5.79,5.89,2,704,58721.93
146,600,5.79,5.89,2,704,58721.93
147,600,5.79,5.89,2,704,58721.93
148,600,5.79,5.89,2,704,58721.93
149,600,5.79,5.89,2,704,58721.93
150,600,5.79,5.89,2,704,58721.93
151,600,5.79,5.89,2,704,58721.93
152,600,5.79,5.89,2,704,58721.93
153,600,5.79,5.89,2,704,58721.93
154,600,5.79,5.89,2,704,58721.93
155,600,5.79,5.89,2,704,58721.93
156,600,5.79,5.89,2,704,58721.93
157,600,5.79,5.89,2,704,58721.93
158,600,5.79,5.89,2,704,58721.93
159,600,5.79,5.89,2,704,58721.93
160,600,5.79,5.89,2,704,58721.93
161,600,5.79,5.89,2,704,58721.93
162,600,5.79,5.89,2,704,58721.93
163,600,5.79,5.89,2,704,58721.93
164,600,5.79,5.89,2,704,58721.93
165,600,5.79,5.89,2,704,58721.93
166,600,5.79,5.89,2,704,58721.93
167,600,5.79,5.89,2,704,58721.93
168,600,3.52,3.62,4,868.01,2840.91
169,600,3.52,3.62,4,868.01,2840.91
170,600,3.52,3.62,4,868.01,2840.91
171,600,3.52,3.62,4,868.01,2840.91
172,600,3.52,3.62,4,868.01,2840.91
173,600,3.52,3.62,4,868.01,2840.91
174,600,3.52,3.62,4,868.01,2840.91
175,600,3.52,3.62,4,868.01,2840.91
176,600,3.52,3.62,4,868.01,2840.91
177,600,3.52,3.62,4,868.01,2840.91
178,600,3.52,3.62,4,868.01,2840.91
179,600,3.52,3.62,4,868.01,2840.91
180,600,3.52,3.62,4,868.01,2840.91
181,600,3.52,3.62,4,868.01,2840.91
182,600,3.52,3.62,4,868.01,2840.91
183,600,3.52,3.62,4,868.01,2840.91
184,600,3.52,3.62,4,868.01,2840.91
185,600,3.52,3.62,4,868.01,2840.91
186,600,3.52,3.62,4,868.01,2840.91
187,600,3.52,3.62,4,868.01,2840.91
188,600,3.52,3.62,4,868.01,2840.91
189,600,3.52,3.62,4,868.01,2840.91
190,600,3.52,3.62,4,868.01,2840.91
191,600,3.52,3.62,4,868.01,2840.91
192,600,3.52,3.62,4,868.01,2840.91
193,600,3.52,3.62,4,868.01,2840.91
194,600,3.52,3.62,4,868.01,2840.91
195,600,3.52,3.62,4,868.01,2840.91
196,600,3.52,3.62,4,868.01,2840.91
197,600,3.52,3.62,4,868.01,2840.91
198,600,3.52,3.62,4,868.01,2840.91
199,600,3.52,3.62,4,868.01,2840.91
200,600,3.52,3.62,4,868.01,2840.91
201,600,1.35,1.36,2,912,22222.22
202,600,1.35,1.36,2,912,22222.22
203,600,1.35,1.36,2,912,22222.22
204,600,1.35,1.36,2,912,22222.22
205,600,1.35,1.36,2,912,22222.22
206,600,1.35,1.36,2,912,22222.22
207,600,1.35,1.36,2,912,22222.22
208,600,1.35,1.36,2,912,22222.22
209,600,1.35,1.36,2,912,22222.22
210,600,1.35,1.36,2,912,22222.22
211,600,1.35,1.36,2,912,22222.22
212,600,1.35,1.36,2,912,22222.22
213,600,1.35,1.36,2,912,22222.22
214,600,1.35,1.36,2,912,22222.22
215,600,1.35,1.36,2,912,22222.22
216,600,1.35,1.36,2,912,22222.22
217,600,1.35,1.36,2,912,22222.22
218,600,1.35,1.36,2,912,22222.22
219,600,1.35,1.36,2,912,22222.22
220,600,1.35,1.36,2,912,22222.22
221,600,1.35,1.36,2,912,22222.22
222,600,1.35,1.36,2,912,22222.22
223,600,1.35,1.36,2,912,22222.22
224,600,1.35,1.36,2,912,22222.22
225,600,1.35,1.36,2,912,22222.22
226,600,1.35,1.36,2,912,22222.22
227,600,1.35,1.36,2,912,22222.22
228,600,1.35,1.36,2,912,22222.22
229,600,1.35,1.36,2,912,22222.22
230,600,1.35,1.36,2,912,22222.22
231,600,1.35,1.36,2,912,22222.22
232,600,1.35,1.36,2,912,22222.22
233,600,1.35,1.36,2,912,22222.22
234,600,1.35,1.36,2,912,22222.22
235,600,3.2,3.24,2,1060,28125
236,600,3.2,3.24,2,1060,28125
237,600,3.2,3.24,2,1060,28125
238,600,3.2,3.24,2,1060,28125
239,600,3.2,3.24,2,1060,28125
240,600,3.2,3.24,2,1060,28125
241,600,3.2,3.24,2,1060,28125
242,600,3.2,3.24,2,1060,28125
243,600,3.2,3.24,2,1060,28125
244,600,3.2,3.24,2,1060,28125
245,600,3.2,3.24,2,1060,28125
246,600,3.2,3.24,2,1060,28125
247,600,3.2,3.24,2,1060,28125
248,600,3.2,3.24,2,1060,28125
249,600,3.2,3.24,2,1060,28125
250,600,3.2,3.24,2,1060,28125
251,600,3.2,3.24,2,1060,28125
252,600,3.2,3.24,2,1060,28125
253,600,3.2,3.24,2,1060,28125
254,600,3.2,3.24,2,1060,28125
255,600,3.2,3.24,2,1060,28125
256,600,3.2,3.24,2,1060,28125
257,600,3.2,3.24,2,1060,28125
258,600,3.2,3.24,2,1060,28125
259,600,3.2,3.24,2,1060,28125
260,600,3.2,3.24,2,1060,28125
261,600,3.2,3.24,2,1060,28125
262,600,3.2,3.24,2,1060,28125
