index,glir11,qo11,qt11,wc11,ch11,gor11,glir22,qo22,qt22,wc22,ch22,gor22
1,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
2,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
3,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
4,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
5,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
6,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
7,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
8,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
9,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
10,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
11,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
12,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
13,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
14,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
15,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
16,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
17,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
18,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
19,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
20,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
21,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
22,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
23,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
24,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
25,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
26,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
27,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
28,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
29,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
30,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
31,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
32,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
33,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
34,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,392.86,600
35,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
36,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
37,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
38,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
39,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
40,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
41,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
42,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
43,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
44,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
45,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
46,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
47,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
48,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
49,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
50,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
51,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
52,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
53,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
54,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
55,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
56,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
57,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
58,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
59,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
60,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
61,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
62,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
63,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
64,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
65,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
66,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
67,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,632,36823.73473
68,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
69,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
70,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
71,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
72,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
73,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
74,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
75,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
76,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
77,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
78,54.2,138.9,332.9,3.987,655,21828.65371,0,4.9,4.9,0,582,81632.65306
