date,GLIR1,THP1,CH1,OIL1,WATER1,LIQUID1,WATERCUT1,GAS1,GOR1,GLIR2,THP2,CH2,OIL2,WATER2,LIQUID2,WATERCUT2,GAS2,GOR2,WATERCUT,GOR
7/20/2013,54.2,246,465.86,165,4.51,359,3.987,2.6506,16064.24242,0,209,392.86,31,0,31,0,0.0186,600,0,600
8/14/2013,54.2,195.3,705,139.73,4.51,333.73,3.987,2.843,20346.38231,0,158.3,632,5.73,0,5.73,0,0.211,36823.73473,0,36823.73473
9/9/2013,54.2,250,655,138.9,4.51,332.9,3.987,3.032,21828.65371,0,213,582,4.9,0,4.9,0,0.4,81632.65306,0,81632.65306
10/14/2013,54.2,203.4,790.2,141,4.51,335,3.987,2.882,20439.71631,0,166.4,717.2,7,0,7,0,0.25,35714.28571,0,35714.28571
11/4/2013,54.2,237,777,139.79,4.51,333.79,3.987,2.972,21260.46212,0,200,704,5.79,0,5.79,0,0.34,58721.93437,0,58721.93437
1/6/2014,54.2,240.96,941.01,137.52,4.51,331.52,3.987,2.632,19139.03432,0,203.96,868.01,3.52,0,3.52,0,0,0,0,0
6/6/2014,54.2,252,985,135.35,4.51,329.35,3.987,2.662,19667.52863,0,215,912,1.35,0,1.35,0,0.03,22222.22222,0,22222.22222
10/6/2014,54.2,284,1133,137.2,4.51,331.2,3.987,2.722,19839.65015,0,247,1060,3.2,0,3.2,0,0.09,28125,0,28125
10/19/2014,54.2,305.8,1133,138.82,4.51,332.82,3.987,2.932,21120.87595,0,268.8,1060,4.82,0,4.82,0,0.3,62240.6639,0,62240.6639
10/23/2014,54.2,315.3,1133,134,4.51,328,3.987,2.942,21955.22388,0,278.3,1060,0,0,0,0,0.31,0,#DIV/0!,#DIV/0!
12/2/2014,54.2,251,1133,137.26,4.51,331.26,3.987,2.982,21725.19306,0,214,1060,3.26,0,3.26,0,0.35,107361.9632,0,107361.9632
1/26/2015,54.2,228.7,1133,137.91,4.51,331.91,3.987,2.636,19113.91487,0,191.7,1060,3.91,0,3.91,0,0.004,1023.017903,0,1023.017903
5/18/2015,54.2,215,1133,138.84,4.51,332.84,3.987,2.637,18993.08557,0,178,1060,4.84,0,4.84,0,0.005,1033.057851,0,1033.057851
5/27/2015,54.2,268.18,1133,136.84,4.51,330.84,3.987,2.635,19256.06548,0,231.18,1060,2.84,0,2.84,0,0.003,1056.338028,0,1056.338028
6/8/2015,54.2,291.58,1133,142.91,4.51,336.91,3.987,2.641,18480.16234,0,254.58,1060,8.91,0,8.91,0,0.009,1010.10101,0,1010.10101
6/15/2015,54.2,284,1133,136.53,4.51,330.53,3.987,2.635,19299.78759,0,247,1060,2.53,0,2.53,0,0.003,1185.770751,0,1185.770751
7/1/2015,54.2,286.39,1133,137.2,4.51,331.2,3.987,2.635,19205.53936,0,249.39,1060,3.2,0,3.2,0,0.003,937.5,0,937.5
7/2/2015,54.2,284.83,1133,146.77,4.51,340.77,3.987,2.645,18021.39402,0,247.83,1060,12.77,0,12.77,0,0.013,1018.010963,0,1018.010963
10/7/2015,218.2,243,623,272.13,23.346,484.966,15.98705097,2.7701,10179.32606,1640,206,550,138.13,18.836,156.966,12.00005097,0.1381,999.7828133,12.00005097,879.8083661
10/9/2015,219.2,243,623,243,19.51,452,16.08377419,2.741,11279.83539,1650,206,550,109,15,124,12.09677419,0.109,1000,12.09677419,879.0322581
11/12/2015,385.2,251,1353,377.59,37.726,604.806,15.98673989,2.8756,7615.667788,3310,214,1280,243.59,33.216,276.806,11.99973989,0.2436,1000.041053,11.99973989,880.0387275
11/13/2015,401.2,251,1484.1,317.45,29.53,536.47,15.98872687,2.8155,8869.113246,3470,214,1411.1,183.45,25.02,208.47,12.00172687,0.1835,1000.272554,12.00172687,880.222574
11/19/2015,315.2,240.38,1194.63,317.42,29.521,536.431,15.98665456,2.8154,8869.636444,2610,203.38,1121.63,183.42,25.011,208.431,11.99965456,0.1834,999.8909606,11.99965456,879.9074994
11/23/2015,344.2,234,1214,334.93,23.898,548.318,12.78700726,2.833,8458.483862,2900,197,1141,200.93,19.388,220.318,8.800007262,0.201,1000.34838,8.800007262,912.3176499
12/3/2015,310.2,246,1225,339.01,24.291,552.791,12.78672953,2.837,8368.484705,2560,209,1152,205.01,19.781,224.791,8.799729527,0.205,999.9512219,8.799729527,911.958219
12/23/2015,160.2,246.95,726.69,352.58,18.462,560.532,9.987034404,2.8506,8084.973623,1060,209.95,653.69,218.58,13.952,232.532,6.000034404,0.2186,1000.0915,6.000034404,940.0856656
1/14/2016,228.2,245.47,877.45,382.37,20.363,592.223,9.986856182,3.252,8504.851322,1740,208.47,804.45,248.37,15.853,264.223,5.999856182,0.62,2496.275718,5.999856182,2346.502765
2/16/2016,230.2,230.93,974.6,347.63,18.146,555.266,9.987017601,3.612,10390.35756,1760,193.93,901.6,213.63,13.636,227.266,6.000017601,0.98,4587.370688,6.000017601,4312.127639
2/28/2016,246.2,230.63,835.5,331.45,31.18,552.12,15.88687507,3.482,10505.35526,1920,193.63,762.5,197.45,26.67,224.12,11.89987507,0.85,4304.887313,11.89987507,3792.611101
3/12/2016,251.2,189,918,330.4,19.293,539.183,10.98708997,3.6367,11006.96126,1970,152,845,196.4,14.783,211.183,7.000089969,1.0047,5115.580448,7.000089969,4757.485214
3/27/2016,208.2,188.98,1360,263.68,14.271,467.441,10.98709323,3.331,12632.73665,1540,151.98,1287,129.68,9.761,139.441,7.000093229,0.699,5390.19124,7.000093229,5012.872828
4/18/2016,298.2,206,1259,274.75,15.104,479.344,10.98694714,2.972,10817.10646,2440,169,1186,140.75,10.594,151.344,6.99994714,0.34,2415.630551,6.99994714,2246.537689
4/29/2016,287.2,202.7,1361.5,241.49,19.029,450.009,15.88694181,3.002,12431.15657,2330,165.7,1288.5,107.49,14.519,122.009,11.89994181,0.37,3442.180668,11.89994181,3032.563172
5/21/2016,141.2,237,1496,234.83,18.129,442.449,15.88662341,2.802,11932.03594,870,200,1423,100.83,13.619,114.449,11.89962341,0.17,1686.006149,11.89962341,1485.377767
6/28/2016,275.2,186.98,1387,230.12,17.493,437.103,15.88676444,2.982,12958.45646,2210,149.98,1314,96.12,12.983,109.103,11.89976444,0.35,3641.281731,11.89976444,3207.977782
7/11/2016,83.2,188,1767,208.44,6.812,404.742,6.986661202,3.082,14786.02955,290,151,1694,74.44,2.302,76.742,2.999661202,0.45,6045.137023,2.999661202,5863.803393
7/26/2016,76.9,228.7,1692,212.52,6.441,408.451,6.387218767,3.029,14252.77621,227,191.7,1619,78.52,1.931,80.451,2.400218767,0.397,5056.036679,2.400218767,4934.680737
8/12/2016,234.2,254,1351,243.42,7.2,440.11,6.386429132,2.872,11798.53751,1800,217,1278,109.42,2.69,112.11,2.399429132,0.24,2193.383294,2.399429132,2140.754616
9/15/2016,249.4,239.84,1538.8,259.22,7.589,456.299,6.38686282,2.732,10539.31024,1952,202.84,1465.8,125.22,3.079,128.299,2.39986282,0.1,798.5944737,2.39986282,779.4293019
9/21/2016,139.9,240.5,1679,202.98,4.607,397.077,4.127423006,2.7669,13631.39226,857,203.5,1606,68.98,0.097,69.077,0.140423006,0.1349,1955.639316,0.140423006,1952.893148
11/13/2016,166,233,1530,221.14,4.632,415.262,4.126808852,2.666,12055.71131,1118,196,1457,87.14,0.122,87.262,0.139808852,0.034,390.1767271,0.139808852,389.6312255
11/26/2016,73.7,217.66,1676,212.92,4.621,407.031,4.127451215,2.664,12511.7415,195,180.66,1603,78.92,0.111,79.031,0.140451215,0.032,405.4738976,0.140451215,404.9044046
12/14/2016,158.6,220,1550,202.37,4.61,396.47,4.133049365,2.7863,13768.34511,1044,183,1477,68.37,0.1,68.47,0.146049365,0.1543,2256.837794,0.146049365,2253.541697
1/11/2017,108.5,225.7,1684,211.78,28.805,430.075,27.78812662,2.663,12574.36963,543,188.7,1611,77.78,24.295,102.075,23.80112662,0.031,398.5600411,23.80112662,303.6982611
3/5/2017,177.2,247,1540,206.46,16.31,412.26,17.99127249,2.661,12888.69515,1230,210,1467,72.46,11.8,84.26,14.00427249,0.029,400.2208115,14.00427249,344.1727985
4/17/2017,106.2,234.25,1658,144.28,6.18,339.95,17.9618954,2.636,18270.0305,520,197.25,1585,10.28,1.67,11.95,13.9748954,0.004,389.1050584,13.9748954,334.7280335
5/12/2017,214.2,280,1220,279.77,5.98,475.24,4.985370008,2.69,9615.040926,1600,243,1147,145.77,1.47,147.24,0.998370008,0.058,397.8870824,0.998370008,393.9146971
5/17/2017,129.2,289,1477,260.24,5.79,455.52,4.990764115,2.682,10305.8715,750,252,1404,126.24,1.28,127.52,1.003764115,0.05,396.0709759,1.003764115,392.0953576
5/29/2017,134.2,228,1664,192,5.1,386.59,4.993997781,2.655,13828.125,800,191,1591,58,0.59,58.59,1.006997781,0.023,396.5517241,1.006997781,392.5584571
6/15/2017,141.2,242,1633,207.63,5.25,402.37,4.982024876,2.661,12816.06704,870,205,1560,73.63,0.74,74.37,0.995024876,0.029,393.8611979,0.995024876,389.942181
7/9/2017,139.2,230,1676,189.71,4.51,383.71,3.987,2.654,13989.77387,850,193,1603,55.71,0,55.71,0,0.022,394.902172,0,394.902172
7/12/2017,158.2,233,1718,243,4.51,437,3.987,2.676,11012.34568,1040,196,1645,109,0,109,0,0.044,403.6697248,0,403.6697248
7/15/2017,202.2,227,1518,233.6,4.51,427.6,3.987,2.672,11438.35616,1480,190,1445,99.6,0,99.6,0,0.04,401.6064257,0,401.6064257
7/30/2017,131.2,226,1613,223.6,4.51,417.6,3.987,2.668,11932.02147,770,189,1540,89.6,0,89.6,0,0.036,401.7857143,0,401.7857143
8/9/2017,137.2,229,1647,213.53,4.51,407.53,3.987,2.664,12475.99869,830,192,1574,79.53,0,79.53,0,0.032,402.3638878,0,402.3638878
8/16/2017,533.2,237.5,1382.79,287.87,4.51,481.87,3.987,2.694,9358.39094,4790,200.5,1309.79,153.87,0,153.87,0,0.062,402.9375447,0,402.9375447
