index,glir11,qo11,qt11,wc11,glir22,qo22,qt22,wc22
1,542,165,210.1,3.987,200,31,31,2
2,542,165,210.1,3.987,200,31,31,2
3,542,165,210.1,3.987,200,31,31,2
4,542,165,210.1,3.987,200,31,31,2
5,542,165,210.1,3.987,200,31,31,2
6,542,165,210.1,3.987,200,31,31,2
7,542,165,210.1,3.987,200,31,31,2
8,542,165,210.1,3.987,200,31,31,2
9,542,165,210.1,3.987,200,31,31,2
10,542,165,210.1,3.987,200,31,31,2
11,542,165,210.1,3.987,200,31,31,2
12,542,165,210.1,3.987,200,31,31,2
13,542,165,210.1,3.987,200,31,31,2
14,542,165,210.1,3.987,200,31,31,2
15,542,165,210.1,3.987,200,31,31,2
16,542,165,210.1,3.987,200,31,31,2
17,542,165,210.1,3.987,200,31,31,2
18,542,165,210.1,3.987,200,31,31,2
19,542,165,210.1,3.987,200,31,31,2
20,542,165,210.1,3.987,200,31,31,2
21,542,165,210.1,3.987,200,31,31,2
22,542,165,210.1,3.987,200,31,31,2
23,542,165,210.1,3.987,200,31,31,2
24,542,165,210.1,3.987,200,31,31,2
25,542,165,210.1,3.987,200,31,31,2
26,542,165,210.1,3.987,200,31,31,2
27,542,165,210.1,3.987,200,31,31,2
28,542,165,210.1,3.987,200,31,31,2
29,542,165,210.1,3.987,200,31,31,2
30,542,165,210.1,3.987,200,31,31,2
31,542,165,210.1,3.987,200,31,31,2
32,542,165,210.1,3.987,200,31,31,2
33,542,165,210.1,3.987,200,31,31,2
34,542,165,210.1,3.987,200,31,31,2
35,542,165,210.1,3.987,200,31,31,2
36,542,165,210.1,3.987,200,31,31,2
37,542,165,210.1,3.987,200,31,31,2
38,542,165,210.1,3.987,200,31,31,2
39,542,165,210.1,3.987,200,31,31,2
40,542,165,210.1,3.987,200,31,31,2
41,542,165,210.1,3.987,200,31,31,2
42,542,165,210.1,3.987,200,31,31,2
43,542,165,210.1,3.987,200,31,31,2
44,542,165,210.1,3.987,200,31,31,2
45,542,165,210.1,3.987,200,31,31,2
46,542,165,210.1,3.987,200,31,31,2
47,542,165,210.1,3.987,200,31,31,2
48,542,165,210.1,3.987,200,31,31,2
49,542,165,210.1,3.987,200,31,31,2
50,542,165,210.1,3.987,200,31,31,2
