time,glir1,qo1,wc1,qw1,qt1,glir2,qo2,wc2,qw2,qt2
7/20/2013,542,165,3.987,45.1,210.1,0,31,0,0,31
8/14/2013,542,139.73,3.987,45.1,184.83,0,5.73,0,0,5.73
9/9/2013,542,138.9,3.987,45.1,184,0,4.9,0,0,4.9
10/14/2013,542,141,3.987,45.1,186.1,0,7,0,0,7
11/4/2013,542,139.79,3.987,45.1,184.89,0,5.79,0,0,5.79
1/6/2014,542,137.52,3.987,45.1,182.62,0,3.52,0,0,3.52
5/25/2014,542,232.28,3.987,45.1,277.38,0,98.28,0,0,98.28
5/26/2014,542,183.32,3.987,45.1,228.42,0,49.32,0,0,49.32
6/6/2014,542,135.35,3.987,45.1,180.45,0,1.35,0,0,1.35
10/6/2014,542,137.2,3.987,45.1,182.3,0,3.2,0,0,3.2
10/19/2014,542,138.82,3.987,45.1,183.92,0,4.82,0,0,4.82
10/23/2014,542,134,3.987,45.1,179.1,0,0,0,0,0
12/2/2014,542,137.26,3.987,45.1,182.36,0,3.26,0,0,3.26
1/26/2015,542,137.91,3.987,45.1,183.01,0,3.91,0,0,3.91
5/18/2015,542,138.84,3.987,45.1,183.94,0,4.84,0,0,4.84
5/27/2015,542,136.84,3.987,45.1,181.94,0,2.84,0,0,2.84
6/8/2015,542,142.91,3.987,45.1,188.01,0,8.91,0,0,8.91
6/15/2015,542,136.53,3.987,45.1,181.63,0,2.53,0,0,2.53
7/1/2015,542,137.2,3.987,45.1,182.3,0,3.2,0,0,3.2
7/2/2015,542,146.77,3.987,45.1,191.87,0,12.77,0,0,12.77
10/7/2015,2182,272.13,15.98705097,233.46,505.59,1640,138.13,12.00005097,188.36,326.49
10/9/2015,2192,243,16.08377419,195.1,438.1,1650,109,12.09677419,150,259
11/12/2015,3852,377.59,15.98673989,377.26,754.85,3310,243.59,11.99973989,332.16,575.75
11/13/2015,4012,317.45,15.98872687,295.3,612.75,3470,183.45,12.00172687,250.2,433.65
11/19/2015,3152,317.42,15.98665456,295.21,612.63,2610,183.42,11.99965456,250.11,433.53
11/23/2015,3442,334.93,12.78700726,238.98,573.91,2900,200.93,8.800007262,193.88,394.81
12/3/2015,3102,339.01,12.78672953,242.91,581.92,2560,205.01,8.799729527,197.81,402.82
12/23/2015,1602,352.58,9.987034404,184.62,537.2,1060,218.58,6.000034404,139.52,358.1
1/14/2016,2282,382.37,9.986856182,203.63,586,1740,248.37,5.999856182,158.53,406.9
2/16/2016,2302,347.63,9.987017601,181.46,529.09,1760,213.63,6.000017601,136.36,349.99
2/28/2016,2462,331.45,15.88687507,311.8,643.25,1920,197.45,11.89987507,266.7,464.15
3/12/2016,2512,330.4,10.98708997,192.93,523.33,1970,196.4,7.000089969,147.83,344.23
3/27/2016,2082,263.68,10.98709323,142.71,406.39,1540,129.68,7.000093229,97.61,227.29
4/18/2016,2982,274.75,10.98694714,151.04,425.79,2440,140.75,6.99994714,105.94,246.69
4/29/2016,2872,241.49,15.88694181,190.29,431.78,2330,107.49,11.89994181,145.19,252.68
